Id_Cliente,Provincia,Familia_Potencial,segment,share_12m,potencial_anual_eur,euros_12m,gap_eur,dies_sense_compra,num_intervals,data_alerta,dies_retard,z_score,cicle_mig_dies,proxim_pedido_esperat,dies_stock,tipus_alerta,finestra_captura_dies,canal,urgencia,prioritat,motiu
16235,Madrid,Anestesia,fidel,0.782,11366.8,8885.9,2480.9,68,24,2025-12-01,0,0.0,70.0,2025-12-03,2 dies,reposicio_preventiva,,delegat,alta,1701.19,Client FIDEL d'Anestesia. Proper pedido estimat dins de 2 dies (cicle habitual: 70 dies). Stock estimat proper a l'esgotament. Contactar per anticipar reposició.
43020,Madrid,Anestesia,promiscu,0.298,3410.04,1016.57,2393.47,266,1,2025-12-01,260,0.0,6.0,2025-03-16,,finestra_captura,3.0,delegat,alta,1436.08,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 6 dies. Share: 30%. Gap: 2393€/any. Retard en reposició urgent.
24485,Madrid,Anestesia,fugat,0.755,11366.8,8577.95,2788.85,756,33,2025-12-01,724,,31.1,,,fugat,,delegat,mitjana,1364.02,"Client FUGAT. Porta MÉS D'UN ANY sense comprar (756 dies). Historial previ de 1782 dies. Requereix recuperació directa per delegat. Gap potencial: 9,093€/any."
11999,A Coruña,Anestesia,fidel,0.827,13640.16,11282.62,2357.54,4,215,2025-12-01,0,0.0,8.3,2025-12-05,4 dies,reposicio_preventiva,,televenda,baixa,1347.17,Client FIDEL d'Anestesia. Proper pedido estimat dins de 4 dies (cicle habitual: 8 dies). Stock estimat proper a l'esgotament. Contactar per anticipar reposició.
43041,Sta.Cruz Tenerife,Anestesia,promiscu,0.411,3410.04,1402.92,2007.12,133,3,2025-12-01,94,1.8,38.3,2025-08-28,,finestra_captura,4.0,delegat,alta,1204.27,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 38 dies. Share: 41%. Gap: 2007€/any. Retard en reposició urgent.
1000082758,A Coruña,Anestesia,promiscu,0.571,5683.4,3244.16,2439.24,348,3,2025-12-01,157,3.76,191.0,2025-06-27,,finestra_captura,14.0,delegat,alta,1203.02,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 191 dies. Share: 57%. Gap: 2439€/any. Retard en reposició urgent.
1000081776,Cádiz,Anestesia,promiscu,0.262,26143.64,6836.6,19307.04,45,14,2025-12-01,0,0.0,76.6,2026-01-01,,finestra_captura,8.0,delegat,mitjana,1158.42,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 77 dies. Share: 26%. Gap: 19307€/any. Moment òptim per contactar.
1000101094,Cádiz,Anestesia,promiscu,0.437,3410.04,1490.74,1919.3,293,2,2025-12-01,167,5.86,125.5,2025-06-16,,finestra_captura,13.0,delegat,alta,1151.58,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 126 dies. Share: 44%. Gap: 1919€/any. Retard en reposició urgent.
1000082742,Sta.Cruz Tenerife,Bioseguridad,promiscu,0.428,3334.68,1426.12,1908.56,322,1,2025-12-01,204,0.0,118.0,2025-05-11,,finestra_captura,12.0,delegat,alta,1145.14,Client PROMISCU d'Bioseguridad en FINESTRA DE CAPTURA. Cicle: 118 dies. Share: 43%. Gap: 1909€/any. Retard en reposició urgent.
42292,Toledo,Anestesia,promiscu,0.523,3410.04,1781.89,1628.15,209,11,2025-12-01,107,1.59,101.1,2025-08-15,,finestra_captura,10.0,delegat,alta,976.89,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 101 dies. Share: 52%. Gap: 1628€/any. Retard en reposició urgent.
42751,Sevilla,Anestesia,promiscu,0.463,3410.04,1579.57,1830.47,322,2,2025-12-01,151,3.02,171.0,2025-07-03,,finestra_captura,14.0,delegat,alta,969.83,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 171 dies. Share: 46%. Gap: 1830€/any. Retard en reposició urgent.
36095,Cádiz,Anestesia,fidel,0.789,5683.4,4485.21,1198.19,129,71,2025-12-01,105,6.07,23.3,2025-08-17,0,risc_fuga,,delegat,alta,958.55,"Client FIDEL d'Anestesia amb risc de FUGA. Cicle habitual: 23 dies. Porta 129 dies sense comprar (105 dies de retard, z=6.1). Stock exhaurit. Prioritat màxima."
43008,Toledo,Anestesia,promiscu,0.288,2223.12,640.56,1582.56,111,3,2025-12-01,55,1.55,55.7,2025-10-06,,finestra_captura,6.0,delegat,alta,938.16,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 56 dies. Share: 29%. Gap: 1583€/any. Retard en reposició urgent.
1000101119,Madrid,Bioseguridad,promiscu,0.532,3334.68,1774.35,1560.33,312,1,2025-12-01,171,0.0,141.0,2025-06-13,,finestra_captura,14.0,delegat,alta,936.2,Client PROMISCU d'Bioseguridad en FINESTRA DE CAPTURA. Cicle: 141 dies. Share: 53%. Gap: 1560€/any. Retard en reposició urgent.
1000102079,Badajoz,Anestesia,promiscu,0.332,2223.12,738.22,1484.9,112,1,2025-12-01,106,0.0,6.0,2025-08-17,,finestra_captura,3.0,delegat,alta,890.94,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 6 dies. Share: 33%. Gap: 1485€/any. Retard en reposició urgent.
1000100930,Sta.Cruz Tenerife,Anestesia,promiscu,0.29,20460.24,5930.81,14529.43,19,7,2025-12-01,0,0.0,78.1,2026-01-29,,finestra_captura,8.0,delegat,mitjana,871.77,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 78 dies. Share: 29%. Gap: 14529€/any. Moment òptim per contactar.
1000100015,Zaragoza,Anestesia,promiscu,0.36,2223.12,800.98,1422.14,199,1,2025-12-01,105,0.0,94.0,2025-08-18,,finestra_captura,9.0,delegat,alta,853.28,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 94 dies. Share: 36%. Gap: 1422€/any. Retard en reposició urgent.
1000100992,Madrid,Anestesia,promiscu,0.521,3410.04,1777.96,1632.08,293,2,2025-12-01,136,7.16,157.0,2025-07-18,,finestra_captura,14.0,delegat,alta,848.27,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 157 dies. Share: 52%. Gap: 1632€/any. Retard en reposició urgent.
1000101745,Valladolid,Bioseguridad,promiscu,0.38,2223.12,845.35,1377.77,185,1,2025-12-01,174,0.0,11.0,2025-06-10,,finestra_captura,3.0,delegat,alta,826.66,Client PROMISCU d'Bioseguridad en FINESTRA DE CAPTURA. Cicle: 11 dies. Share: 38%. Gap: 1378€/any. Retard en reposició urgent.
1000082292,Asturias,Anestesia,fugat,1.0,6820.08,13149.33,0.0,619,10,2025-12-01,540,,78.6,,,fugat,,delegat,mitjana,818.41,"Client FUGAT. Porta MÉS D'UN ANY sense comprar (619 dies). Historial previ de 1405 dies. Requereix recuperació directa per delegat. Gap potencial: 5,456€/any."
36972,,Anestesia,fugat,1.0,6820.08,7037.18,0.0,557,14,2025-12-01,472,,84.7,,,fugat,,delegat,mitjana,818.41,"Client FUGAT. Porta MÉS D'UN ANY sense comprar (557 dies). Historial previ de 1743 dies. Requereix recuperació directa per delegat. Gap potencial: 5,456€/any."
41044,Vizcaya,Anestesia,fugat,1.0,6820.08,18553.38,0.0,1270,16,2025-12-01,1237,,32.1,,,fugat,,delegat,mitjana,818.41,"Client FUGAT. Porta MÉS D'UN ANY sense comprar (1270 dies). Historial previ de 1784 dies. Requereix recuperació directa per delegat. Gap potencial: 5,456€/any."
8979,Vizcaya,Anestesia,fugat,1.0,6820.08,8761.3,0.0,664,2,2025-12-01,367,,297.0,,,fugat,,delegat,mitjana,818.41,"Client FUGAT. Porta MÉS D'UN ANY sense comprar (664 dies). Historial previ de 1258 dies. Requereix recuperació directa per delegat. Gap potencial: 5,456€/any."
26122,Barcelona,Anestesia,fugat,1.0,6820.08,7091.38,0.0,1315,6,2025-12-01,1243,,72.0,,,fugat,,delegat,mitjana,818.41,"Client FUGAT. Porta MÉS D'UN ANY sense comprar (1315 dies). Historial previ de 1747 dies. Requereix recuperació directa per delegat. Gap potencial: 5,456€/any."
1000100538,Alicante,Anestesia,fidel,0.702,3410.04,2394.56,1015.48,291,2,2025-12-01,69,2.16,222.0,2025-09-23,0,reposicio_endarrerida,,televenda,mitjana,812.38,Client FIDEL d'Anestesia amb reposició endarrerida. Cicle habitual: 222 dies. Retard de 69 dies (z=2.2). Proper pedido esperat fa 69 dies. Contactar per confirmar estat.
1000101972,Madrid,Anestesia,promiscu,0.253,1802.36,456.11,1346.25,165,2,2025-12-01,154,34.22,10.5,2025-06-29,,finestra_captura,3.0,delegat,alta,807.75,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 10 dies. Share: 25%. Gap: 1346€/any. Retard en reposició urgent.
15888,Zaragoza,Anestesia,fugat,0.232,6820.08,1583.35,5236.73,577,4,2025-12-01,285,,291.2,,,fugat,,delegat,mitjana,800.85,"Client FUGAT. Porta MÉS D'UN ANY sense comprar (577 dies). Historial previ de 1742 dies. Requereix recuperació directa per delegat. Gap potencial: 5,456€/any."
1000077509,Madrid,Anestesia,fidel,0.719,3410.04,2453.41,956.63,62,7,2025-12-01,26,1.17,35.9,2025-11-04,0,reposicio_pendent,,televenda,baixa,765.3,Client FIDEL d'Anestesia amb lleuger retard (26 dies). Cicle habitual: 36 dies. Proper pedido: 0 dies enrere. Seguiment rutina.
1000100650,Alicante,Anestesia,promiscu,0.427,2223.12,949.06,1274.06,272,1,2025-12-01,135,0.0,137.0,2025-07-19,,finestra_captura,14.0,delegat,alta,753.28,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 137 dies. Share: 43%. Gap: 1274€/any. Retard en reposició urgent.
38636,Orense,Anestesia,fidel,0.804,4546.72,3654.71,892.01,116,19,2025-12-01,30,0.77,85.8,2025-10-31,0,reposicio_pendent,,televenda,baixa,713.61,Client FIDEL d'Anestesia amb lleuger retard (30 dies). Cicle habitual: 86 dies. Proper pedido: 0 dies enrere. Seguiment rutina.
1000042084,Cantabria,Anestesia,promiscu,0.413,2223.12,918.29,1304.83,277,2,2025-12-01,129,1.41,147.5,2025-07-24,,finestra_captura,14.0,delegat,alta,684.7,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 148 dies. Share: 41%. Gap: 1305€/any. Retard en reposició urgent.
12100,A Coruña,Anestesia,fugat,1.0,5683.4,6601.54,0.0,684,4,2025-12-01,447,,236.2,,,fugat,,delegat,mitjana,682.01,"Client FUGAT. Porta MÉS D'UN ANY sense comprar (684 dies). Historial previ de 1629 dies. Requereix recuperació directa per delegat. Gap potencial: 4,547€/any."
1000081604,Asturias,Anestesia,fugat,0.38,5683.4,2158.1,3525.3,480,9,2025-12-01,359,,120.1,,,fugat,,delegat,mitjana,682.01,"Client FUGAT. Porta MÉS D'UN ANY sense comprar (480 dies). Historial previ de 1561 dies. Requereix recuperació directa per delegat. Gap potencial: 4,547€/any."
351,Sevilla,Anestesia,fugat,1.0,5683.4,19368.77,0.0,405,7,2025-12-01,231,,173.1,,,fugat,,delegat,mitjana,682.01,"Client FUGAT. Porta MÉS D'UN ANY sense comprar (405 dies). Historial previ de 1617 dies. Requereix recuperació directa per delegat. Gap potencial: 4,547€/any."
1000101678,León,Anestesia,promiscu,0.346,3410.04,1181.14,2228.9,97,0,2025-12-01,0,,,,,info,,televenda,baixa,668.67,Client PROMISCU. Sense dades suficients per calcular cicle de reposició. Contacte proactiu recomanat.
24485,Madrid,Bioseguridad,fugat,0.962,5557.8,5344.17,213.63,1166,10,2025-12-01,1104,,61.6,,,fugat,,delegat,mitjana,666.94,"Client FUGAT. Porta MÉS D'UN ANY sense comprar (1166 dies). Historial previ de 1782 dies. Requereix recuperació directa per delegat. Gap potencial: 4,446€/any."
42865,León,Anestesia,promiscu,0.448,9093.44,4073.78,5019.66,161,3,2025-12-01,29,0.43,132.0,2025-11-02,,finestra_captura,13.0,delegat,alta,661.68,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 132 dies. Share: 45%. Gap: 5020€/any. Retard en reposició urgent.
1000082478,Navarra,Anestesia,fidel,0.758,3410.04,2585.41,824.63,333,4,2025-12-01,82,0.46,250.5,2025-09-09,0,reposicio_pendent,,televenda,baixa,659.7,Client FIDEL d'Anestesia amb lleuger retard (82 dies). Cicle habitual: 250 dies. Proper pedido: 0 dies enrere. Seguiment rutina.
