Id_Cliente,Familia_Potencial,any_mes,euros_venuts,num_pedidos,unitats,en_campana,anyo,mes,euros_12m,euros_3m,Potencial_EUR,share_12m,share_3m_annualized,gap_eur,cicle_mig_dies,cicle_std_dies,num_intervals,data_ultim_pedido,data_primer_pedido,dies_sense_compra,dies_historial,tendencia_negativa,segment,segment_anterior
26,Anestesia,2025-01,518.27,1,5,0,2025,1,1375.09,1375.09,2223.12,0.6185406095937241,1.0,848.03,520.0,190.0,2,2025-01-31,2022-03-28,304,1344,False,promiscu,
30,Anestesia,2025-03,590.57,1,5,0,2025,3,5221.39,2334.81,2223.12,1.0,1.0,0.0,299.8,83.47790126734141,5,2025-03-07,2021-01-28,269,1768,False,fidel,
30,Bioseguridad,2025-09,324.05,1,3,0,2025,9,1374.94,938.83,1086.44,1.0,1.0,0.0,439.6666666666667,404.26916226142646,3,2025-09-12,2022-02-01,80,1399,False,fidel,
46,Anestesia,2025-05,824.63,1,15,0,2025,5,5772.46,2548.53,4546.72,1.0,1.0,0.0,301.0,88.51666509759617,5,2025-05-29,2021-04-15,186,1691,False,fidel,
46,Bioseguridad,2025-09,485.82,1,6,0,2025,9,1053.28,1053.28,2223.12,0.4737845910252258,1.0,1169.84,814.0,0.0,1,2025-09-25,2023-07-04,67,881,False,promiscu,
66,Anestesia,2025-10,458.13,1,5,0,2025,10,3084.46,1245.1999999999998,3410.04,0.9045231140983684,1.0,325.5799999999999,238.14285714285714,65.8427316119437,7,2025-10-31,2021-04-08,31,1698,False,fidel,
69,Anestesia,2022-12,172.67,1,1,0,2022,12,1984.7599999999998,1984.7599999999998,2223.12,0.8927813163481952,1.0,238.36000000000013,214.0,138.0,2,2022-12-28,2021-10-26,1069,1497,False,fugat,
69,Bioseguridad,2025-11,397.52,1,12,0,2025,11,4541.139999999999,1597.62,1086.44,1.0,1.0,0.0,124.63636363636364,46.499800052889235,11,2025-11-04,2022-02-02,27,1398,False,fidel,
96,Anestesia,2025-08,754.86,1,5,0,2025,8,4291.88,2199.14,3410.04,1.0,1.0,0.0,317.6,91.22411961756606,5,2025-08-13,2021-04-08,110,1698,False,fidel,
96,Bioseguridad,2025-04,397.52,1,12,0,2025,4,4628.39,1085.71,1667.34,1.0,1.0,0.0,128.91666666666666,80.04109187716574,12,2025-04-22,2021-01-26,223,1770,False,fidel,
100,Anestesia,2025-05,1411.5300000000002,1,13,0,2025,5,12802.86,3079.83,2223.12,1.0,1.0,0.0,139.45454545454547,64.12114051665819,11,2025-05-21,2021-03-09,194,1728,False,fidel,
100,Bioseguridad,2021-11,611.73,1,6,0,2021,11,899.61,899.61,1086.44,0.8280346820809248,1.0,186.83000000000004,272.0,0.0,1,2021-11-10,2021-02-11,1482,1754,False,fugat,
109,Anestesia,2025-11,1328.79,1,15,0,2025,11,15416.77,3986.37,3410.04,1.0,1.0,0.0,117.57142857142857,50.03243845705688,14,2025-11-26,2021-05-25,5,1651,False,fidel,
