id_client,provincia,familia,segment_client,share_of_wallet_12m,dies_sense_compra,cicle_habitual_dies,potencial_anual_eur,z_score_retard,tipus_alerta,impacte_recuperable_eur,urgencia,motiu_explicat,score_prioritat
1000078910,Barcelona,Anestesia,promiscu,0.42,75,75.8,4546.72,-0.03,finestra_captura,2638.68,alta,Client promiscu de Anestesia (Share 12m: 42%). El seu cicle de compra és de 76 dies. Porta 75 dies sense comprar (-1 dies de coll). S'obre la seva finestra de reposició ara. Oportunitat per robar share a la competència.,5.27736
41482,Ciudad Real,Anestesia,en_risc,0.311,87,52.3,3410.04,1.33,caiguda_share,2349.78,alta,"Client en_risc de Anestesia (Share 12m: 31%). El seu cicle de compra és de 52 dies. Porta 87 dies sense comprar (35 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment.",4.69956
1000080678,Sta.Cruz Tenerife,Anestesia,promiscu,0.519,87,84.7,4546.72,0.05,finestra_captura,2188.2,alta,Client promiscu de Anestesia (Share 12m: 52%). El seu cicle de compra és de 85 dies. Porta 87 dies sense comprar (2 dies de coll). S'obre la seva finestra de reposició ara. Oportunitat per robar share a la competència.,4.376399999999999
41906,Ciudad Real,Anestesia,en_risc,0.381,84,46.1,3410.04,1.1,caiguda_share,2109.57,alta,"Client en_risc de Anestesia (Share 12m: 38%). El seu cicle de compra és de 46 dies. Porta 84 dies sense comprar (38 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment.",4.21914
1000100232,Madrid,Anestesia,en_risc,0.467,11,133.0,6820.08,-1.24,caiguda_share,3634.15,mitja,"Client en_risc de Anestesia (Share 12m: 47%). El seu cicle de compra és de 133 dies. Porta 11 dies sense comprar (-122 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment.",3.63415
42591,Ciudad Real,Anestesia,promiscu,0.293,84,86.8,2223.12,-0.05,finestra_captura,1571.3,alta,Client promiscu de Anestesia (Share 12m: 29%). El seu cicle de compra és de 87 dies. Porta 84 dies sense comprar (-3 dies de coll). S'obre la seva finestra de reposició ara. Oportunitat per robar share a la competència.,3.1426
1000075662,Sta.Cruz Tenerife,Anestesia,promiscu,0.323,88,72.3,4546.72,0.37,reposicio_endarrerida,3078.88,mitja,Client promiscu de Anestesia (Share 12m: 32%). El seu cicle de compra és de 72 dies. Porta 88 dies sense comprar (16 dies de coll). ,3.0788800000000003
15351,Sta.Cruz Tenerife,Anestesia,en_risc,0.484,55,62.5,5683.4,-0.35,caiguda_share,2934.95,mitja,"Client en_risc de Anestesia (Share 12m: 48%). El seu cicle de compra és de 62 dies. Porta 55 dies sense comprar (-7 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment.",2.9349499999999997
12057,A Coruña,Anestesia,en_risc,0.701,63,44.5,4546.72,1.01,caiguda_share,1358.08,alta,"Client en_risc de Anestesia (Share 12m: 70%). El seu cicle de compra és de 44 dies. Porta 63 dies sense comprar (19 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment.",2.71616
17168,Málaga,Anestesia,en_risc,0.404,28,137.2,4546.72,-0.52,caiguda_share,2708.47,mitja,"Client en_risc de Anestesia (Share 12m: 40%). El seu cicle de compra és de 137 dies. Porta 28 dies sense comprar (-109 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment.",2.7084699999999997
37652,Toledo,Anestesia,en_risc,0.393,84,43.7,2223.12,1.52,caiguda_share,1350.44,alta,"Client en_risc de Anestesia (Share 12m: 39%). El seu cicle de compra és de 44 dies. Porta 84 dies sense comprar (40 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment.",2.70088
11348,Segovia,Anestesia,en_risc,0.531,41,93.2,5683.4,-0.97,caiguda_share,2663.0,mitja,"Client en_risc de Anestesia (Share 12m: 53%). El seu cicle de compra és de 93 dies. Porta 41 dies sense comprar (-52 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment.",2.663
28992,Sta.Cruz Tenerife,Anestesia,en_risc,0.441,45,61.3,4546.72,-0.45,caiguda_share,2540.13,mitja,"Client en_risc de Anestesia (Share 12m: 44%). El seu cicle de compra és de 61 dies. Porta 45 dies sense comprar (-16 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment.",2.54013
17963,Pontevedra,Anestesia,en_risc,0.722,46,54.7,9093.44,-0.55,caiguda_share,2530.53,mitja,"Client en_risc de Anestesia (Share 12m: 72%). El seu cicle de compra és de 55 dies. Porta 46 dies sense comprar (-9 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment.",2.53053
37656,Toledo,Anestesia,en_risc,0.432,87,35.3,2223.12,2.97,caiguda_share,1262.28,alta,"Client en_risc de Anestesia (Share 12m: 43%). El seu cicle de compra és de 35 dies. Porta 87 dies sense comprar (52 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment.",2.52456
11999,A Coruña,Bioseguridad,promiscu,0.656,27,12.6,6669.36,0.9,reposicio_endarrerida,2296.64,mitja,Client promiscu de Bioseguridad (Share 12m: 66%). El seu cicle de compra és de 13 dies. Porta 27 dies sense comprar (14 dies de coll). ,2.29664
42534,Jaén,Anestesia,en_risc,0.677,12,59.6,6820.08,-0.71,caiguda_share,2201.96,mitja,"Client en_risc de Anestesia (Share 12m: 68%). El seu cicle de compra és de 60 dies. Porta 12 dies sense comprar (-48 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment.",2.20196
26192,Girona,Anestesia,en_risc,0.728,27,37.2,7956.76,-0.52,caiguda_share,2164.15,mitja,"Client en_risc de Anestesia (Share 12m: 73%). El seu cicle de compra és de 37 dies. Porta 27 dies sense comprar (-10 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment.",2.1641500000000002
24622,Cádiz,Bioseguridad,en_risc,0.677,82,52.5,3334.68,1.39,caiguda_share,1076.76,alta,"Client en_risc de Bioseguridad (Share 12m: 68%). El seu cicle de compra és de 53 dies. Porta 82 dies sense comprar (29 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment.",2.15352
30618,Vizcaya,Anestesia,en_risc,0.532,83,155.9,4546.72,-0.76,caiguda_share,2126.16,mitja,"Client en_risc de Anestesia (Share 12m: 53%). El seu cicle de compra és de 156 dies. Porta 83 dies sense comprar (-73 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment.",2.12616
38500,Ciudad Real,Anestesia,en_risc,0.527,87,35.7,2223.12,2.77,caiguda_share,1052.23,alta,"Client en_risc de Anestesia (Share 12m: 53%). El seu cicle de compra és de 36 dies. Porta 87 dies sense comprar (51 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment.",2.10446
24046,Almería,Anestesia,en_risc,0.393,59,123.1,3410.04,-0.52,caiguda_share,2068.94,mitja,"Client en_risc de Anestesia (Share 12m: 39%). El seu cicle de compra és de 123 dies. Porta 59 dies sense comprar (-64 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment.",2.06894
1000082766,Madrid,Anestesia,promiscu,0.423,81,65.9,3410.04,0.7,reposicio_endarrerida,1966.56,mitja,Client promiscu de Anestesia (Share 12m: 42%). El seu cicle de compra és de 66 dies. Porta 81 dies sense comprar (15 dies de coll). ,1.9665599999999999
7412,Madrid,Anestesia,en_risc,0.425,80,71.8,3410.04,0.16,caiguda_share,1962.03,mitja,"Client en_risc de Anestesia (Share 12m: 42%). El seu cicle de compra és de 72 dies. Porta 80 dies sense comprar (8 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment.",1.96203
41053,Sta.Cruz Tenerife,Anestesia,en_risc,0.445,26,127.7,3410.04,-0.88,caiguda_share,1892.54,mitja,"Client en_risc de Anestesia (Share 12m: 45%). El seu cicle de compra és de 128 dies. Porta 26 dies sense comprar (-102 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment.",1.89254
2373,Sta.Cruz Tenerife,Anestesia,en_risc,0.445,84,325.8,3410.04,-1.02,caiguda_share,1892.54,mitja,"Client en_risc de Anestesia (Share 12m: 45%). El seu cicle de compra és de 326 dies. Porta 84 dies sense comprar (-242 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment.",1.89254
42293,Ciudad Real,Anestesia,en_risc,0.576,87,46.7,2223.12,1.52,caiguda_share,942.0,alta,"Client en_risc de Anestesia (Share 12m: 58%). El seu cicle de compra és de 47 dies. Porta 87 dies sense comprar (40 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment.",1.884
39951,Alicante,Anestesia,promiscu,0.448,75,58.9,3410.04,0.76,reposicio_endarrerida,1883.65,mitja,Client promiscu de Anestesia (Share 12m: 45%). El seu cicle de compra és de 59 dies. Porta 75 dies sense comprar (16 dies de coll). ,1.88365
24622,Cádiz,Anestesia,promiscu,0.736,82,78.9,6820.08,0.1,reposicio_endarrerida,1800.62,mitja,Client promiscu de Anestesia (Share 12m: 74%). El seu cicle de compra és de 79 dies. Porta 82 dies sense comprar (3 dies de coll). ,1.8006199999999999
15196,Sta.Cruz Tenerife,Anestesia,promiscu,0.606,33,24.0,4546.72,0.48,reposicio_endarrerida,1792.92,mitja,Client promiscu de Anestesia (Share 12m: 61%). El seu cicle de compra és de 24 dies. Porta 33 dies sense comprar (9 dies de coll). ,1.79292
40193,León,Anestesia,en_risc,0.477,45,307.0,3410.04,-1.69,caiguda_share,1784.83,mitja,"Client en_risc de Anestesia (Share 12m: 48%). El seu cicle de compra és de 307 dies. Porta 45 dies sense comprar (-262 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment.",1.78483
