id_client,provincia,familia,segment_client,share_of_wallet_12m,dies_sense_compra,cicle_habitual_dies,potencial_anual_eur,z_score_retard,genera_alerta,tipus_alerta,impacte_recuperable_eur,urgencia,motiu_explicat
3,Sevilla,Anestesia,perdut,0.0,675,,2223.12,,False,,,,
26,Sevilla,Anestesia,promiscu,0.398,27,448.3,2223.12,-1.86,False,,,,
30,Sevilla,Anestesia,perdut,0.266,297,,2223.12,,False,,,,
30,Sevilla,Bioseguridad,perdut,0.597,108,,1086.44,,False,,,,
46,Sevilla,Anestesia,perdut,0.181,214,,4546.72,,False,,,,
46,Sevilla,Bioseguridad,perdut,0.219,95,,2223.12,,False,,,,
64,Sevilla,Anestesia,marginal,0.0,1558,,2223.12,,False,,,,
66,Sevilla,Anestesia,promiscu,0.261,59,238.1,3410.04,-2.52,False,,,,
69,Sevilla,Anestesia,perdut,0.0,1097,,2223.12,,False,,,,
69,Sevilla,Bioseguridad,fidel,1.471,55,137.1,1086.44,-1.13,False,,,,
96,Sevilla,Anestesia,perdut,0.221,138,,3410.04,,False,,,,
96,Sevilla,Bioseguridad,perdut,0.238,251,,1667.34,,False,,,,
100,Sevilla,Anestesia,perdut,1.113,222,,2223.12,,False,,,,
100,Sevilla,Bioseguridad,perdut,0.0,1510,,1086.44,,False,,,,
109,Sevilla,Anestesia,fidel,1.169,33,149.6,3410.04,-1.5,False,,,,
118,Sevilla,Anestesia,perdut,0.0,207,,3410.04,,False,,,,
119,Sevilla,Anestesia,en_risc,1.371,46,159.0,3410.04,-1.05,True,caiguda_share,0.0,mitja,"Client en_risc de Anestesia (Share 12m: 137%). El seu cicle de compra és de 159 dies. Porta 46 dies sense comprar (-113 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment."
123,Sevilla,Anestesia,marginal,0.234,62,,5683.4,,False,,,,
123,Sevilla,Bioseguridad,nou,0.117,62,,2778.9,,False,,,,
132,Sevilla,Anestesia,perdut,0.285,214,,2223.12,,False,,,,
132,Sevilla,Bioseguridad,fidel,0.837,84,59.3,1086.44,0.74,False,,,,
142,Sevilla,Bioseguridad,marginal,0.0,1511,,1667.34,,False,,,,
149,Sevilla,Anestesia,perdut,0.371,250,,2223.12,,False,,,,
149,Sevilla,Bioseguridad,fidel,1.79,55,415.8,1086.44,-2.0,False,,,,
163,Sevilla,Anestesia,perdut,0.0,1621,,2223.12,,False,,,,
171,Sevilla,Anestesia,perdut,0.312,230,,3410.04,,False,,,,
188,Sevilla,Anestesia,perdut,0.266,227,,2223.12,,False,,,,
188,Sevilla,Bioseguridad,perdut,0.0,453,,1086.44,,False,,,,
231,Sevilla,Anestesia,perdut,0.0,1398,,3410.04,,False,,,,
238,Sevilla,Anestesia,en_risc,2.014,13,85.9,4546.72,-1.59,True,caiguda_share,0.0,mitja,"Client en_risc de Anestesia (Share 12m: 201%). El seu cicle de compra és de 86 dies. Porta 13 dies sense comprar (-73 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment."
238,Sevilla,Bioseguridad,perdut,0.395,91,,2223.12,,False,,,,
290,Tarragona,Anestesia,perdut,0.163,213,,3410.04,,False,,,,
290,Tarragona,Bioseguridad,perdut,0.0,1536,,1667.34,,False,,,,
300,Tarragona,Anestesia,promiscu,0.655,38,101.4,2223.12,-0.52,False,,,,
330,Tarragona,Anestesia,perdut,0.0,1301,,2223.12,,False,,,,
349,Sevilla,Anestesia,perdut,0.0,1572,,2223.12,,False,,,,
349,Sevilla,Bioseguridad,marginal,0.0,1572,,1086.44,,False,,,,
351,Sevilla,Anestesia,perdut,0.0,433,,5683.4,,False,,,,
356,Sevilla,Anestesia,perdut,0.537,265,,2223.12,,False,,,,
367,Sevilla,Anestesia,perdut,0.271,231,,3410.04,,False,,,,
367,Sevilla,Bioseguridad,perdut,0.486,348,,1667.34,,False,,,,
369,Soria,Bioseguridad,perdut,0.0,431,,1086.44,,False,,,,
376,Soria,Anestesia,marginal,0.0,1197,,3410.04,,False,,,,
376,Soria,Bioseguridad,perdut,0.0,761,,1667.34,,False,,,,
382,Soria,Anestesia,perdut,0.0,592,,2223.12,,False,,,,
400,Sevilla,Bioseguridad,marginal,0.0,1398,,1086.44,,False,,,,
