id_client,familia,bloc_analitic,tipus_alerta,segment_client,dies_sense_compra,cicle_habitual_dies,dies_retard,share_of_wallet_12m,potencial_anual_eur,impacte_recuperable_eur,urgencia,motiu_explicat,data_alerta,z_score_silenci,nivell_alerta,prioritat_score,canal_recomanat,rank_prioritat
1000081983,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,172,51.0,,,52711.18,5560.74,critica,Client actiu_regular de Biomaterials. Historial: 32 pedidos (7 últims 12m). Freqüència habitual: 51 ±34 dies. Porta 172 dies sense comprar (z=3.5). Anomalia crítica detectada.,2025-12-30,3.52,vermella,0.4782159183417242,delegat,1
1000077135,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,190,22.0,,,19420.9,3416.44,critica,Client actiu_regular de Biomaterials. Historial: 74 pedidos (4 últims 12m). Freqüència habitual: 22 ±18 dies. Porta 190 dies sense comprar (z=9.1). Anomalia crítica detectada.,2025-12-30,9.14,vermella,0.45120880064601154,delegat,2
1000100974,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,188,42.0,,,0.0,2155.87,critica,Client actiu_regular de Biomaterials. Historial: 12 pedidos (5 últims 12m). Freqüència habitual: 42 ±23 dies. Porta 188 dies sense comprar (z=6.4). Anomalia crítica detectada.,2025-12-30,6.45,vermella,0.425687051128304,delegat,3
1000101656,Anestesia,Commodities,risc_fuga,fidel,293,55.0,238.0,1.5,2223.12,615.92,critica,Client fidel de Anestesia. Cicle habitual: 55 dies (±16). Porta 293 dies sense comprar (238 dies de retard). Share of wallet últims 12m: 150%. Possible inici de fuga.,2025-12-30,,,0.4156563210297445,delegat,4
1000101729,Anestesia,Commodities,risc_fuga,fidel,201,63.0,138.0,1.5,3410.04,550.43,critica,Client fidel de Anestesia. Cicle habitual: 63 dies (±28). Porta 201 dies sense comprar (138 dies de retard). Share of wallet últims 12m: 150%. Possible inici de fuga.,2025-12-30,,,0.40839582372807265,delegat,5
42893,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,246,31.0,,,0.0,1577.42,critica,Client actiu_regular de Biomaterials. Historial: 6 pedidos (5 últims 12m). Freqüència habitual: 31 ±23 dies. Porta 246 dies sense comprar (z=9.2). Anomalia crítica detectada.,2025-12-30,9.21,vermella,0.40837247232793067,delegat,6
1000101095,Anestesia,Commodities,risc_fuga,fidel,250,42.0,208.0,1.5,3410.04,544.24,critica,Client fidel de Anestesia. Cicle habitual: 42 dies (±34). Porta 250 dies sense comprar (208 dies de retard). Share of wallet últims 12m: 150%. Possible inici de fuga.,2025-12-30,,,0.40766547854489765,delegat,7
1000064974,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,172,41.0,,,13872.52,1450.85,critica,Client actiu_regular de Biomaterials. Historial: 40 pedidos (5 últims 12m). Freqüència habitual: 41 ±29 dies. Porta 172 dies sense comprar (z=4.6). Anomalia crítica detectada.,2025-12-30,4.55,vermella,0.40373731707483135,delegat,8
1000082355,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,244,38.0,,,5338.0,1380.75,critica,Client actiu_regular de Biomaterials. Historial: 4 pedidos (4 últims 12m). Freqüència habitual: 38 ±17 dies. Porta 244 dies sense comprar (z=12.1). Anomalia crítica detectada.,2025-12-30,12.14,vermella,0.4009930259753168,delegat,9
41580,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,222,48.0,,,23119.82,1083.02,critica,Client actiu_regular de Biomaterials. Historial: 34 pedidos (10 últims 12m). Freqüència habitual: 48 ±43 dies. Porta 222 dies sense comprar (z=4.1). Anomalia crítica detectada.,2025-12-30,4.07,vermella,0.3875357810808186,delegat,10
