Num.Fact,Fecha,Id_Cliente,Id_Producto,Bloque_Analitico,Categoria_H,Familia_H,Familia_Potencial,es_commodity,Cod_Postal,Provincia,Unidades,Valores_H,es_devolucion,en_campana,Potencial_EUR,anyo,mes,trimestre,dia_semana,dia_anyo
3810000197,2024-01-03,1000078762,4566,Commodities,Categoria C1,Familia C1,Anestesia,1,38400.0,Sta.Cruz Tenerife,-1,-141.93,1,0,1802.36,2024,1,1,2,3
3810000198,2024-01-12,1000077124,3408,Commodities,Categoria C1,Familia C1,Anestesia,1,35007.0,Las Palmas,-10,-634.15,1,0,3410.04,2024,1,1,4,12
3810000209,2024-05-16,26898,3408,Commodities,Categoria C1,Familia C1,Anestesia,1,38204.0,Sta.Cruz Tenerife,-1,0.0,1,0,12503.48,2024,5,2,3,137
3810000210,2024-05-16,28992,3408,Commodities,Categoria C1,Familia C1,Anestesia,1,38670.0,Sta.Cruz Tenerife,-2,0.0,1,0,4546.72,2024,5,2,3,137
3810000210,2024-05-16,28992,4912,Commodities,Categoria C2,Familia C2,Bioseguridad,1,38670.0,Sta.Cruz Tenerife,-11,0.0,1,0,2223.12,2024,5,2,3,137
3810000212,2024-05-24,39417,4911,Commodities,Categoria C2,Familia C2,Bioseguridad,1,38400.0,Sta.Cruz Tenerife,-12,-1179.57,1,0,1667.34,2024,5,2,4,145
3810000223,2024-09-20,1000081769,4567,Commodities,Categoria C1,Familia C1,Anestesia,1,35002.0,Las Palmas,-15,-1648.97,1,0,4546.72,2024,9,3,4,264
3810000226,2024-10-11,18670,4567,Commodities,Categoria C1,Familia C1,Anestesia,1,38670.0,Sta.Cruz Tenerife,-1,-109.93,1,0,3410.04,2024,10,4,4,285
3810000231,2024-10-24,1000068599,4911,Commodities,Categoria C2,Familia C2,Bioseguridad,1,38320.0,Sta.Cruz Tenerife,-12,-943.66,1,0,2223.12,2024,10,4,3,298
3810000237,2024-11-27,15196,4566,Commodities,Categoria C1,Familia C1,Anestesia,1,38700.0,Sta.Cruz Tenerife,-2,-193.24,1,0,4546.72,2024,11,4,2,332
3810000239,2024-11-27,1000081356,4567,Commodities,Categoria C1,Familia C1,Anestesia,1,38005.0,Sta.Cruz Tenerife,-3,-549.66,1,0,3410.04,2024,11,4,2,332
3810000240,2024-12-12,42054,4565,Commodities,Categoria C1,Familia C1,Anestesia,1,38627.0,Sta.Cruz Tenerife,-6,-688.04,1,0,3410.04,2024,12,4,3,347
3810000241,2025-01-13,1000066475,4911,Commodities,Categoria C2,Familia C2,Bioseguridad,1,38002.0,Sta.Cruz Tenerife,-12,-1179.57,1,0,2223.12,2025,1,1,0,13
3810000244,2025-02-17,28992,4911,Commodities,Categoria C2,Familia C2,Bioseguridad,1,38670.0,Sta.Cruz Tenerife,-12,-972.14,1,0,2223.12,2025,2,1,0,48
3810000246,2025-03-06,2427,4567,Commodities,Categoria C1,Familia C1,Anestesia,1,38700.0,Sta.Cruz Tenerife,-1,0.0,1,0,2223.12,2025,3,1,3,65
3810000247,2025-03-06,2427,178,Commodities,Categoria C1,Familia C1,Anestesia,1,38700.0,Sta.Cruz Tenerife,-2,-145.6,1,0,2223.12,2025,3,1,3,65
3810000247,2025-03-06,2427,3408,Commodities,Categoria C1,Familia C1,Anestesia,1,38700.0,Sta.Cruz Tenerife,-4,-190.22,1,0,2223.12,2025,3,1,3,65
3810000248,2025-03-26,32501,4566,Commodities,Categoria C1,Familia C1,Anestesia,1,35500.0,Las Palmas,-3,-344.02,1,0,4546.72,2025,3,1,2,85
3810000249,2025-03-26,32501,4566,Commodities,Categoria C1,Familia C1,Anestesia,1,35500.0,Las Palmas,-1,-86.0,1,0,4546.72,2025,3,1,2,85
3810000253,2025-04-09,43041,4565,Commodities,Categoria C1,Familia C1,Anestesia,1,38620.0,Sta.Cruz Tenerife,-2,-236.22,1,0,3410.04,2025,4,2,2,99
3810000256,2025-05-12,41501,4565,Commodities,Categoria C1,Familia C1,Anestesia,1,38687.0,Sta.Cruz Tenerife,-3,-354.35,1,0,2223.12,2025,5,2,0,132
3810000256,2025-05-12,41501,4566,Commodities,Categoria C1,Familia C1,Anestesia,1,38687.0,Sta.Cruz Tenerife,-3,-354.35,1,0,2223.12,2025,5,2,0,132
3810000256,2025-05-12,41501,4567,Commodities,Categoria C1,Familia C1,Anestesia,1,38687.0,Sta.Cruz Tenerife,-1,-150.97,1,0,2223.12,2025,5,2,0,132
3810000259,2025-05-16,42930,178,Commodities,Categoria C1,Familia C1,Anestesia,1,38003.0,Sta.Cruz Tenerife,-2,-228.94,1,0,4546.72,2025,5,2,4,136
3810000261,2025-06-30,1000066853,4566,Commodities,Categoria C1,Familia C1,Anestesia,1,38679.0,Sta.Cruz Tenerife,-2,-295.29,1,0,3410.04,2025,6,2,0,181
3810000262,2025-06-30,1000078634,4567,Commodities,Categoria C1,Familia C1,Anestesia,1,38008.0,Sta.Cruz Tenerife,-2,-301.94,1,0,2223.12,2025,6,2,0,181
3810000265,2025-07-23,1000080660,4566,Commodities,Categoria C1,Familia C1,Anestesia,1,38006.0,Sta.Cruz Tenerife,-5,-531.51,1,0,4546.72,2025,7,3,2,204
3810000266,2025-07-24,15196,4566,Commodities,Categoria C1,Familia C1,Anestesia,1,38700.0,Sta.Cruz Tenerife,-2,-199.01,1,0,4546.72,2025,7,3,3,205
3810000268,2025-10-16,10381,4912,Commodities,Categoria C2,Familia C2,Bioseguridad,1,38003.0,Sta.Cruz Tenerife,-12,-397.52,1,0,1086.44,2025,10,4,3,289
3810000271,2025-10-17,1000100528,4566,Commodities,Categoria C1,Familia C1,Anestesia,1,38005.0,Sta.Cruz Tenerife,-1,0.0,1,0,3410.04,2025,10,4,4,290
3810000273,2025-10-29,1000081959,3408,Commodities,Categoria C1,Familia C1,Anestesia,1,38430.0,Sta.Cruz Tenerife,-10,-659.71,1,0,3410.04,2025,10,4,2,302
3810000275,2025-11-07,20614,4565,Commodities,Categoria C1,Familia C1,Anestesia,1,38005.0,Sta.Cruz Tenerife,-13,-1151.63,1,0,3410.04,2025,11,4,4,311
3810000279,2025-11-24,1000100930,4566,Commodities,Categoria C1,Familia C1,Anestesia,1,38004.0,Sta.Cruz Tenerife,-2,-236.22,1,0,20460.24,2025,11,4,0,328
3810000282,2025-12-24,1000100137,4566,Commodities,Categoria C1,Familia C1,Anestesia,1,35003.0,Las Palmas,-6,-708.7,1,0,4546.72,2025,12,4,2,358
3831000248,2021-01-21,25081,4912,Commodities,Categoria C2,Familia C2,Bioseguridad,1,38760.0,Sta.Cruz Tenerife,-12,-349.86,1,0,1667.34,2021,1,1,3,21
3831000248,2021-01-31,25081,4912,Commodities,Categoria C2,Familia C2,Bioseguridad,1,38760.0,Sta.Cruz Tenerife,0,0.0,0,0,1667.34,2021,1,1,6,31
3831000249,2021-01-21,32501,4566,Commodities,Categoria C1,Familia C1,Anestesia,1,35500.0,Las Palmas,-6,-661.35,1,0,4546.72,2021,1,1,3,21
3831000251,2021-01-21,1000037667,3408,Commodities,Categoria C1,Familia C1,Anestesia,1,35002.0,Las Palmas,-6,-345.87,1,0,3410.04,2021,1,1,3,21
3831000251,2021-01-31,1000037667,3408,Commodities,Categoria C1,Familia C1,Anestesia,1,35002.0,Las Palmas,0,0.0,0,0,3410.04,2021,1,1,6,31
3831000261,2021-03-16,1000080471,4912,Commodities,Categoria C2,Familia C2,Bioseguridad,1,35100.0,Las Palmas,-3,-180.11,1,0,1086.44,2021,3,1,1,75
3831000276,2021-07-09,1000070086,4566,Commodities,Categoria C1,Familia C1,Anestesia,1,35509.0,Las Palmas,-9,-744.02,1,0,3410.04,2021,7,3,4,190
3831000282,2021-09-22,10401,3408,Commodities,Categoria C1,Familia C1,Anestesia,1,38002.0,Sta.Cruz Tenerife,-2,-171.0,1,0,2223.12,2021,9,3,2,265
3831000295,2021-12-16,22244,3408,Commodities,Categoria C1,Familia C1,Anestesia,1,38005.0,Sta.Cruz Tenerife,-3,-256.51,1,0,3410.04,2021,12,4,3,350
3831000296,2021-12-20,1000082282,3408,Commodities,Categoria C1,Familia C1,Anestesia,1,35002.0,Las Palmas,0,-205.2,0,0,3410.04,2021,12,4,0,354
3831000296,2021-12-20,1000082282,4566,Commodities,Categoria C1,Familia C1,Anestesia,1,35002.0,Las Palmas,0,-330.67,0,0,3410.04,2021,12,4,0,354
3831000302,2022-02-09,1000076197,4566,Commodities,Categoria C1,Familia C1,Anestesia,1,38612.0,Sta.Cruz Tenerife,-6,-661.35,1,0,2223.12,2022,2,1,2,40
3831000306,2022-03-28,1000081769,4912,Commodities,Categoria C2,Familia C2,Bioseguridad,1,35002.0,Las Palmas,-12,-363.8,1,0,2223.12,2022,3,1,0,87
