Num.Fact,Fecha,Id_Cliente,Id_Producto,Bloque_Analitico,Categoria_H,Familia_H,Familia_Potencial,es_commodity,Cod_Postal,Provincia,Unidades,Valores_H,es_devolucion,en_campana,Potencial_EUR,anyo,mes,trimestre,dia_semana,dia_anyo
3810000198,2024-01-12,1000077124,5099,Productos Técnicos,Categoria T1,Familia T1,Biomateriales,0,35007.0,Las Palmas,-1,-329.32,1,0,9247.3,2024,1,1,4,12
3810000201,2024-03-22,35333,5099,Productos Técnicos,Categoria T1,Familia T1,Biomateriales,0,35006.0,Las Palmas,-4,-1142.11,1,0,27741.9,2024,3,1,4,82
3810000206,2024-05-16,6208,5100,Productos Técnicos,Categoria T1,Familia T1,Biomateriales,0,38300.0,Sta.Cruz Tenerife,-3,-568.09,1,0,18494.6,2024,5,2,3,137
3810000210,2024-05-16,28992,5099,Productos Técnicos,Categoria T1,Familia T1,Biomateriales,0,38670.0,Sta.Cruz Tenerife,-1,0.0,1,0,7397.84,2024,5,2,3,137
3810000227,2024-10-11,1000077876,5099,Productos Técnicos,Categoria T1,Familia T1,Biomateriales,0,38500.0,Sta.Cruz Tenerife,-2,-604.64,1,0,7397.84,2024,10,4,4,285
3810000227,2024-10-11,1000077876,5103,Productos Técnicos,Categoria T1,Familia T1,Biomateriales,0,38500.0,Sta.Cruz Tenerife,-1,-909.69,1,0,7397.84,2024,10,4,4,285
3810000229,2024-10-18,11577,5115,Productos Técnicos,Categoria T1,Familia T2,Biomateriales,0,38002.0,Sta.Cruz Tenerife,-3,-1459.16,1,0,5548.38,2024,10,4,4,292
3810000232,2024-10-29,9641,5105,Productos Técnicos,Categoria T1,Familia T1,Biomateriales,0,35500.0,Las Palmas,-3,-1022.1,1,0,5548.38,2024,10,4,1,303
3810000242,2025-01-20,1000080874,5118,Productos Técnicos,Categoria T1,Familia T2,Biomateriales,0,35019.0,Las Palmas,-1,-553.99,1,0,9247.3,2025,1,1,0,20
3810000263,2025-07-15,40612,5382,Productos Técnicos,Categoria T1,Familia T1,Biomateriales,0,35003.0,Las Palmas,-1,-946.46,1,0,9247.3,2025,7,3,1,196
3810000269,2025-10-16,15196,5099,Productos Técnicos,Categoria T1,Familia T1,Biomateriales,0,38700.0,Sta.Cruz Tenerife,-2,-533.83,1,0,13872.52,2025,10,4,3,289
3810000274,2025-10-29,1000081959,5099,Productos Técnicos,Categoria T1,Familia T1,Biomateriales,0,38430.0,Sta.Cruz Tenerife,-1,-342.64,1,0,5548.38,2025,10,4,2,302
3831000264,2021-03-25,1000078192,5115,Productos Técnicos,Categoria T1,Familia T2,Biomateriales,0,38612.0,Sta.Cruz Tenerife,-5,-1895.99,1,0,18494.6,2021,3,1,3,84
3831000265,2021-04-12,8963,5108,Productos Técnicos,Categoria T1,Familia T1,Biomateriales,0,38360.0,Sta.Cruz Tenerife,-1,-516.0,1,0,4625.22,2021,4,2,0,102
3831000265,2021-04-12,8963,5115,Productos Técnicos,Categoria T1,Familia T2,Biomateriales,0,38360.0,Sta.Cruz Tenerife,-3,-1309.0,1,0,4625.22,2021,4,2,0,102
3831000294,2021-12-16,6208,5103,Productos Técnicos,Categoria T1,Familia T1,Biomateriales,0,38300.0,Sta.Cruz Tenerife,-3,-2164.72,1,0,18494.6,2021,12,4,3,350
3831000314,2022-05-13,1000058223,5115,Productos Técnicos,Categoria T1,Familia T2,Biomateriales,0,38107.0,Sta.Cruz Tenerife,-1,-519.45,1,0,32367.12,2022,5,2,4,133
3831000346,2023-03-10,6208,5107,Productos Técnicos,Categoria T1,Familia T1,Biomateriales,0,38300.0,Sta.Cruz Tenerife,-1,-442.27,1,0,18494.6,2023,3,1,4,69
3831000349,2023-03-10,1000082218,5103,Productos Técnicos,Categoria T1,Familia T1,Biomateriales,0,35500.0,Las Palmas,-1,-743.21,1,0,27741.9,2023,3,1,4,69
3831000350,2023-04-20,15196,5100,Productos Técnicos,Categoria T1,Familia T1,Biomateriales,0,38700.0,Sta.Cruz Tenerife,-2,-433.19,1,0,13872.52,2023,4,2,3,110
3831000350,2023-04-20,15196,5115,Productos Técnicos,Categoria T1,Familia T2,Biomateriales,0,38700.0,Sta.Cruz Tenerife,-3,-1241.74,1,0,13872.52,2023,4,2,3,110
3831000356,2023-06-19,1000067138,5102,Productos Técnicos,Categoria T1,Familia T2,Biomateriales,0,38400.0,Sta.Cruz Tenerife,-3,-1141.7,1,0,5548.38,2023,6,2,0,170
3831000356,2023-06-27,1000067138,5102,Productos Técnicos,Categoria T1,Familia T2,Biomateriales,0,38400.0,Sta.Cruz Tenerife,0,0.0,0,0,5548.38,2023,6,2,1,178
3831000357,2023-06-27,1000080874,5103,Productos Técnicos,Categoria T1,Familia T1,Biomateriales,0,35019.0,Las Palmas,-1,-842.31,1,0,9247.3,2023,6,2,1,178
3831000361,2023-08-18,23112,5115,Productos Técnicos,Categoria T1,Familia T2,Biomateriales,0,38010.0,Sta.Cruz Tenerife,-1,-529.84,1,0,23119.82,2023,8,3,4,230
3910002519,2024-01-04,5787,5099,Productos Técnicos,Categoria T1,Familia T1,Biomateriales,0,35100.0,Las Palmas,1,335.92,0,0,13345.0,2024,1,1,3,4
3910002541,2024-01-09,21609,5099,Productos Técnicos,Categoria T1,Familia T1,Biomateriales,0,38005.0,Sta.Cruz Tenerife,1,335.92,0,0,2775.76,2024,1,1,1,9
3910002547,2024-01-11,41522,5099,Productos Técnicos,Categoria T1,Familia T1,Biomateriales,0,38010.0,Sta.Cruz Tenerife,3,906.99,0,0,18494.6,2024,1,1,3,11
3910002555,2024-01-11,1000080390,5099,Productos Técnicos,Categoria T1,Familia T1,Biomateriales,0,38770.0,Sta.Cruz Tenerife,3,906.99,0,0,7397.84,2024,1,1,3,11
3910002560,2024-01-12,6360,5115,Productos Técnicos,Categoria T1,Familia T2,Biomateriales,0,35002.0,Las Palmas,1,540.43,0,0,4625.22,2024,1,1,4,12
3910002582,2024-01-16,25307,5099,Productos Técnicos,Categoria T1,Familia T1,Biomateriales,0,35004.0,Las Palmas,5,1259.67,0,0,64731.1,2024,1,1,1,16
3910002586,2024-01-16,1000078192,5099,Productos Técnicos,Categoria T1,Familia T1,Biomateriales,0,38612.0,Sta.Cruz Tenerife,4,980.87,0,0,18494.6,2024,1,1,1,16
3910002586,2024-01-16,1000078192,5118,Productos Técnicos,Categoria T1,Familia T2,Biomateriales,0,38612.0,Sta.Cruz Tenerife,3,1213.23,0,0,18494.6,2024,1,1,1,16
3910002613,2024-01-19,1000082578,5099,Productos Técnicos,Categoria T1,Familia T1,Biomateriales,0,38400.0,Sta.Cruz Tenerife,6,1652.71,0,0,7397.84,2024,1,1,4,19
3910002613,2024-01-19,1000082578,5107,Productos Técnicos,Categoria T1,Familia T1,Biomateriales,0,38400.0,Sta.Cruz Tenerife,2,1079.56,0,0,7397.84,2024,1,1,4,19
3910002615,2024-01-22,2309,5099,Productos Técnicos,Categoria T1,Familia T1,Biomateriales,0,38003.0,Sta.Cruz Tenerife,1,335.92,0,0,11096.76,2024,1,1,0,22
