cod_postal,city,latitude,longitude
01003,Vitoria-Gasteiz,42.8459,-2.6582
01004,Vitoria-Gasteiz,42.8442,-2.6667
01005,Vitoria-Gasteiz,42.8435,-2.6715
01006,Vitoria-Gasteiz,42.8376,-2.6655
01007,"Vitoria-Gasteiz, Armentia",42.8358,-2.69385
01008,Vitoria-Gasteiz,42.8472,-2.6833
01009,Vitoria-Gasteiz,42.8535,-2.685
01010,"Ali, Vitoria-Gasteiz, Ehari",42.8577,-2.699666666666667
01012,Vitoria-Gasteiz,42.8546,-2.6768
01015,Vitoria-Gasteiz,42.8421,-2.7031
01400,Laudio/Llodio,43.142,-2.9652
01470,"Etxegoien, Amurrio",43.05135,-3.00045
02001,Albacete,38.9953,-1.8525
02002,Albacete,38.9886,-1.8525
02003,Albacete,38.9885,-1.8611
02005,Albacete,39.0007,-1.8628
02006,Albacete,38.9898,-1.8715
02100,Tarazona De La Mancha,39.25,-1.9167
02200,Casas-Ibañez,39.2833,-1.4667
02400,Hellin,38.5106,-1.701
02500,Tobarra,38.5925,-1.6906
02510,"Pozo Cañada, Pozo Bueno",38.803200000000004,-1.73135
02600,Villarrobledo,39.2683,-2.6035
02610,El Bonillo,38.95,-2.5402
02611,Ossa De Montiel,38.964,-2.7455
02630,La Roda,39.2063,-2.1582
02640,Almansa,38.8675,-1.0982
02650,Montealegre Del Castillo,38.7886,-1.3272
02660,Caudete,38.7049,-0.9876
03001,Alicante/Alacant,38.3447,-0.4865
03002,Alicante/Alacant,38.347,-0.4806
03003,Alicante/Alacant,38.3417,-0.4908
03004,Alicante/Alacant,38.3502,-0.4864
03005,Alicante/Alacant,38.3523,-0.4979
03006,Alicante/Alacant,38.3468,-0.5133
03007,Alicante/Alacant,38.3422,-0.5082
03008,Alicante/Alacant,38.3316,-0.5115
03009,Alicante/Alacant,38.3655,-0.4989
03010,Alicante/Alacant,38.3611,-0.4887
03012,Alicante/Alacant,38.3574,-0.4822
03013,Alicante/Alacant,38.3562,-0.4764
03015,Alicante/Alacant,38.3681,-0.4696
03016,Alicante/Alacant,38.3654,-0.4493
03100,"Abio, Xixona, Carrasqueta (Urbanizacion), Segorb",38.55,-0.4512
